join-type,join_bridgestmt_compact
i.balance-i.balance,generates true-sense (including meaning) in combination with
i.balance-i.novelty,during expand and release (no-self) results in
i.balance-i.pattern,during patterning on self (no-other) results in 
i.balance-context,moves in cycles such that it might align context for
i.balance.ord#-context.difford#,", to integrate new context, reforms"
i.balance-i.integrate,is one source of 
i.novelty-i.balance,expands or releases existing true-sense (including meanings) and interconnected view of 
i.novelty-i.novelty,generates iterative flow in combination with
i.novelty-i.pattern,is regulated by held 
i.novelty-context,generates context directly for
i.novelty.ord#-context.difford#,generates context indirectly for
i.novelty-i.integrate,opens the door for expanded
i.pattern-i.balance,establishes patterns in a true-sense (including meanings) and interconnected view of
i.pattern-i.novelty,is directly reformed by 
i.pattern-i.pattern,generates strict reinforcement patterning through alignment with
i.pattern-context,regulates and directs context for
i.pattern.ord#-context.difford#,moves in cycles such that it might restrict context for
i.pattern-i.integrate,generates patterning that halts direct experience of 
i.integrate-i.balance,informs / emerges from feedback among 
i.integrate-i.novelty,", when enhanced, generates expansion and release cycles among"
i.integrate-i.pattern,", when in reinforcement patterns, generate"
context.cyc#-context.cyc#,integrates when brought into context through
context.b#-context.b#,widens in context and scope through
e.balance-e.balance,generates flow in focus when in combination with
e.balance-e.novelty,makes sense (such as from compassionate empathy) possible towards
e.balance-e.pattern,makes referent (such as from discerning judgment) possible towards
e.balance-e.implicit,focused on self-expression dissipates stress from
e.balance-e.influence,focused on influence dissipates stress from
e.balance-e.explicit,focused on others dissipates stress from
e.balance-e.integrate,is one source of 
e.novelty-e.balance,restricts direct perception and inter-connected view of 
e.novelty-e.novelty,", by itself, ignores tension from"
e.novelty-e.pattern,", expressed, relieves tension about"
e.novelty-e.implicit,focused on self-expression buffers internal
e.novelty-e.influence,focused on influence buffer internal
e.novelty-e.explicit,focused on others buffers internal
e.novelty-e.integrate,has special/formative importance in
e.pattern-e.balance,restricts true-sense (including meaningful) and interconnected view of
e.pattern-e.novelty,is emphasized during distress over
e.pattern-e.pattern,", by itself, ignores tension from"
e.pattern-e.implicit,focused on self-expression stimulates internal
e.pattern-e.influence,focused on influence stimulates internal
e.pattern-e.explicit,focused on others stimulates internal
e.pattern-e.integrate,has special/formative importance in
e.integrate-e.novelty,transforms
e.integrate-e.balance,can be limited by sense (empathy) constraint of
e.integrate-e.pattern,can be limited by referent (judgment) constraint of
e.implicit-e.implicit,"when exploring focus on self, reveals the challenges of"
e.influence-e.influence,"when exploring focus on influence, reveals the challenges of"
e.explicit-e.explicit,"when exploring focus on another, reveals the challenges of"
e.implicit-e.influence,relates self through influence over
e.implicit-e.explicit,relates self through glorification of another via
e.influence-e.implicit,influences the revealing of self through
e.influence-e.explicit,amplifies influence toward others through
e.explicit-e.implicit,relates glorification of influence in a way that patterns others'
e.explicit-e.influence,relates glorification of others in a way that patterns influence through
